,0,1,2
0,4,,
1,4,,
2,4,,
3,4,,
4,4,0.0,9.0
6,4,,
7,4,,
8,3,2.0,1.0
9,4,,
10,4,,
11,4,9.0,0.0
12,4,,
13,4,,
14,9,,
15,4,9.0,7.0
16,4,,
17,4,,
18,4,,
19,4,,
20,4,,
21,4,0.0,9.0
23,4,9.0,0.0
24,4,,
26,4,,
28,4,9.0,8.0
29,2,,
30,4,,
31,4,0.0,9.0
32,4,,
33,4,,
34,8,9.0,5.0
35,4,9.0,7.0
36,4,,
37,4,,
40,4,,
41,4,,
42,4,,
43,4,0.0,9.0
44,4,,
45,4,,
46,4,,
47,4,,
48,4,,
49,4,,
50,4,,
51,4,,
52,4,9.0,8.0
53,4,,
54,4,,
55,4,,
58,9,,
59,4,0.0,9.0
60,4,9.0,7.0
61,4,,
62,4,0.0,9.0
63,9,,
64,4,0.0,9.0
65,9,,
66,4,,
67,4,0.0,9.0
69,4,,
70,4,0.0,9.0
71,4,,
73,4,0.0,9.0
74,4,,
75,4,,
76,4,,
77,4,,
78,9,,
79,4,,
80,4,,
81,4,9.0,7.0
82,4,,
83,4,,
84,4,,
86,4,,
87,4,,
88,4,0.0,9.0
89,4,9.0,7.0
90,4,9.0,7.0
91,4,0.0,9.0
92,4,,
93,4,0.0,9.0
94,4,,
95,4,,
97,4,0.0,9.0
98,4,,
99,4,,
100,4,,
101,4,0.0,9.0
102,4,,
103,4,,
104,4,0.0,9.0
105,4,0.0,9.0
106,1,2.0,3.0
107,9,,
108,4,0.0,9.0
109,4,,
110,4,,
111,4,0.0,9.0
112,4,9.0,8.0
114,6,,
115,4,,
116,4,,
117,4,,
118,4,0.0,9.0
120,7,9.0,6.0
121,4,0.0,9.0
122,4,,
123,4,9.0,0.0
124,4,0.0,9.0
125,9,,
126,4,,
127,4,,
128,4,0.0,9.0
129,4,9.0,8.0
130,4,,
131,4,,
132,4,0.0,9.0
134,4,,
135,4,0.0,9.0
136,4,,
137,4,0.0,9.0
138,4,,
139,4,,
140,4,,
141,4,,
142,4,,
143,4,,
144,4,0.0,9.0
145,4,,
146,4,,
147,4,,
148,4,0.0,9.0
149,4,,
150,4,,
151,4,9.0,0.0
152,4,,
154,4,9.0,7.0
155,4,,
156,4,,
157,4,0.0,9.0
158,4,0.0,9.0
159,4,,
160,4,,
161,4,9.0,8.0
162,9,7.0,6.0
163,4,,
164,4,0.0,9.0
165,4,9.0,7.0
166,4,0.0,9.0
167,4,,
169,2,3.0,1.0
170,4,,
171,4,0.0,9.0
172,4,0.0,9.0
173,4,,
174,4,,
175,4,0.0,9.0
176,4,0.0,9.0
177,4,,
178,4,,
179,4,,
180,4,,
181,4,0.0,9.0
182,4,,
183,4,,
184,4,,
185,4,,
187,4,,
188,4,,
189,4,,
190,4,0.0,9.0
191,4,,
192,4,,
193,4,,
194,5,,
195,4,0.0,9.0
196,4,9.0,7.0
197,4,0.0,9.0
199,4,,
200,4,,
201,4,9.0,7.0
202,4,,
203,4,0.0,9.0
204,4,,
205,9,,
206,4,,
207,8,,
208,4,0.0,9.0
209,4,,
211,4,0.0,9.0
212,4,,
213,4,,
214,4,,
215,4,9.0,0.0
216,4,0.0,9.0
217,4,0.0,9.0
218,4,0.0,9.0
219,4,,
220,4,0.0,9.0
222,4,,
224,4,0.0,9.0
225,4,,
226,4,,
227,4,0.0,9.0
228,4,0.0,9.0
229,4,9.0,0.0
230,4,0.0,9.0
231,4,,
232,4,0.0,9.0
233,1,2.0,3.0
234,4,0.0,9.0
235,4,0.0,9.0
236,4,0.0,9.0
237,4,,
238,4,,
241,4,0.0,9.0
242,4,,
243,4,,
244,4,,
245,4,0.0,9.0
246,4,,
248,4,0.0,9.0
249,4,0.0,9.0
250,4,0.0,9.0
251,4,0.0,9.0
252,4,0.0,9.0
253,4,0.0,9.0
254,4,0.0,9.0
255,4,,
257,3,2.0,1.0
258,4,0.0,9.0
259,4,,
260,4,,
261,4,,
263,4,0.0,9.0
264,4,0.0,9.0
265,4,,
266,4,0.0,9.0
267,1,,
268,7,9.0,6.0
269,4,9.0,7.0
270,4,,
271,4,,
272,4,,
273,4,,
274,4,0.0,9.0
275,4,0.0,9.0
276,4,0.0,9.0
277,4,,
278,4,,
279,4,0.0,9.0
280,4,,
281,4,0.0,9.0
282,4,0.0,9.0
283,4,0.0,9.0
284,4,9.0,7.0
285,4,0.0,9.0
286,4,0.0,9.0
287,4,0.0,9.0
289,4,0.0,9.0
290,4,,
291,4,0.0,9.0
292,4,,
293,4,0.0,9.0
294,9,,
295,4,0.0,9.0
296,4,,
297,4,0.0,9.0
298,9,,
299,4,0.0,9.0
300,9,,
301,4,0.0,9.0
302,4,0.0,9.0
303,4,0.0,9.0
304,4,0.0,9.0
305,4,0.0,9.0
306,4,0.0,9.0
307,9,,
308,4,,
309,9,,
310,4,0.0,9.0
311,4,,
312,4,0.0,9.0
314,4,0.0,9.0
315,4,0.0,9.0
316,4,0.0,9.0
317,4,0.0,9.0
318,1,,
319,4,,
321,4,0.0,9.0
322,6,5.0,9.0
323,4,,
324,4,0.0,9.0
326,4,,
327,4,0.0,9.0
328,4,0.0,8.0
329,4,,
331,9,,
332,2,3.0,1.0
333,4,0.0,9.0
334,4,0.0,9.0
335,4,0.0,9.0
336,4,0.0,9.0
337,4,0.0,9.0
338,4,0.0,9.0
339,4,,
340,4,0.0,9.0
341,1,2.0,3.0
343,4,0.0,9.0
344,4,0.0,9.0
345,7,9.0,6.0
346,1,,
350,4,0.0,9.0
351,4,0.0,9.0
352,4,,
353,4,0.0,9.0
354,4,,
356,4,0.0,9.0
357,4,0.0,9.0
358,0,4.0,8.0
360,4,0.0,9.0
361,4,0.0,9.0
362,4,,
363,4,0.0,9.0
364,4,0.0,9.0
365,4,0.0,9.0
366,4,0.0,9.0
367,4,9.0,7.0
368,4,0.0,9.0
369,4,0.0,9.0
370,4,,
371,4,,
372,4,0.0,9.0
373,4,,
374,4,,
375,4,0.0,9.0
376,8,9.0,5.0
377,4,0.0,9.0
378,4,0.0,9.0
379,4,0.0,9.0
381,4,0.0,9.0
382,4,9.0,0.0
383,4,0.0,9.0
384,4,0.0,9.0
385,4,0.0,9.0
386,4,0.0,9.0
387,4,0.0,9.0
388,9,,
389,4,0.0,9.0
390,9,7.0,6.0
391,4,0.0,9.0
392,4,0.0,9.0
393,9,7.0,6.0
394,4,0.0,9.0
395,4,,
396,4,0.0,9.0
397,4,0.0,9.0
398,4,0.0,9.0
399,4,0.0,9.0
400,4,,
401,4,9.0,7.0
402,4,0.0,9.0
403,1,,
404,4,,
405,4,,
406,4,0.0,9.0
407,4,,
408,4,0.0,9.0
409,4,,
410,4,0.0,9.0
411,4,0.0,9.0
412,4,0.0,9.0
413,4,0.0,9.0
414,4,0.0,9.0
415,4,,
416,4,,
417,8,,
418,4,0.0,9.0
419,4,,
420,4,,
421,4,,
422,4,0.0,9.0
423,4,,
424,4,,
425,4,,
426,4,0.0,9.0
428,4,0.0,9.0
429,4,,
430,4,0.0,9.0
431,4,,
432,9,,
433,0,4.0,8.0
434,4,0.0,9.0
436,9,6.0,8.0
437,4,9.0,7.0
438,9,,
439,4,0.0,9.0
440,4,0.0,9.0
441,4,,
442,4,,
443,4,0.0,9.0
444,4,,
445,4,0.0,9.0
446,4,,
447,7,9.0,6.0
448,4,9.0,0.0
449,4,,
450,4,,
451,4,,
453,4,0.0,9.0
454,4,9.0,7.0
455,4,0.0,9.0
457,4,,
458,4,9.0,7.0
459,4,0.0,9.0
460,4,,
461,4,,
462,4,9.0,0.0
463,4,,
464,4,0.0,9.0
465,4,,
466,0,,
467,4,,
468,4,,
469,4,9.0,0.0
470,4,,
471,4,,
473,4,,
474,7,9.0,6.0
476,4,,
478,4,,
479,4,9.0,0.0
480,4,,
481,4,0.0,9.0
482,9,,
483,4,9.0,7.0
484,4,0.0,9.0
485,5,6.0,9.0
486,4,,
488,4,,
489,9,,
490,4,,
491,4,,
492,4,,
493,4,,
494,9,,
495,0,4.0,8.0
496,4,,
497,4,,
498,4,,
499,4,9.0,8.0
500,4,9.0,7.0
501,4,,
502,4,,
503,4,,
504,4,,
506,9,8.0,6.0
507,4,0.0,9.0
508,4,0.0,9.0
509,9,,
510,4,,
511,4,,
512,4,,
513,4,0.0,9.0
514,4,0.0,9.0
515,4,,
516,4,,
517,4,,
518,4,,
520,2,,
521,4,,
523,4,,
524,2,,
525,4,0.0,9.0
526,4,,
527,4,,
528,0,,
529,9,,
531,4,9.0,7.0
532,4,,
533,4,,
534,3,2.0,1.0
535,4,,
536,4,0.0,9.0
537,4,,
538,4,,
539,4,0.0,9.0
540,4,,
542,4,,
543,4,,
544,4,,
546,4,,
547,9,,
548,4,,
549,4,,
551,4,9.0,0.0
552,9,,
553,4,,
554,4,9.0,7.0
555,4,,
556,4,,
557,4,,
558,4,,
559,4,,
560,4,,
561,4,0.0,9.0
562,4,,
563,4,,
564,4,9.0,0.0
565,0,4.0,8.0
566,4,,
568,4,9.0,8.0
569,4,,
570,4,,
571,4,,
572,9,,
573,9,,
574,3,2.0,1.0
575,4,9.0,7.0
576,4,,
577,2,,
578,4,,
579,4,,
580,5,6.0,9.0
581,4,,
582,4,,
583,4,,
584,4,,
585,4,,
586,4,9.0,0.0
587,4,9.0,0.0
588,4,,
589,4,0.0,9.0
591,9,,
592,4,,
593,4,0.0,9.0
594,4,,
595,4,,
596,4,,
597,4,,
598,4,,
599,4,,
600,4,,
601,7,9.0,6.0
602,4,0.0,9.0
603,9,,
604,4,,
605,9,,
606,4,9.0,7.0
607,4,,
609,4,,
610,4,,
611,4,,
612,4,,
613,4,9.0,7.0
614,4,0.0,9.0
615,4,,
616,4,,
617,4,,
618,2,3.0,1.0
619,4,,
620,4,,
621,4,9.0,7.0
622,4,,
623,4,9.0,7.0
625,4,,
626,4,,
627,4,,
628,4,0.0,9.0
629,4,0.0,9.0
630,4,,
631,4,,
632,4,9.0,7.0
633,4,,
634,4,,
636,4,,
637,4,,
638,0,4.0,8.0
639,4,9.0,0.0
640,8,9.0,5.0
641,4,,
642,7,9.0,6.0
643,4,9.0,7.0
644,4,9.0,7.0
645,4,9.0,0.0
646,4,,
647,4,9.0,7.0
